date,fgi,sentiment,indicators_available,price_momentum,market_breadth,volatility,volume,margin_sentiment,limit_ratio,northbound,turnover
2024-12-26,64.08730158730158,贪婪,6,86.11111111111111,55.952380952380956,36.111111111111114,76.19047619047619,,57.14285714285714,,73.01587301587301
2024-12-27,61.53628117913833,贪婪,7,84.92063492063492,55.55555555555556,40.476190476190474,78.96825396825396,,65.27777777777779,28.57142857142857,76.98412698412699
2024-12-30,56.57596371882086,中性,7,87.3015873015873,57.936507936507944,40.87301587301587,76.19047619047619,,28.57142857142857,31.746031746031743,73.4126984126984
2024-12-31,47.44897959183673,中性,7,78.17460317460318,26.984126984126984,37.301587301587304,77.77777777777779,,11.507936507936508,25.396825396825395,75.0
2025-01-02,47.87414965986394,中性,7,75.39682539682539,1.7857142857142856,29.761904761904773,78.57142857142857,,40.07936507936508,30.952380952380953,78.57142857142857
2025-01-03,41.609977324263035,中性,7,74.60317460317461,1.5873015873015872,29.365079365079367,75.0,,4.365079365079365,30.952380952380953,75.39682539682539
2025-01-06,40.816326530612244,中性,7,74.20634920634922,2.380952380952381,38.095238095238095,71.03174603174604,,5.952380952380952,29.365079365079367,64.68253968253968
2025-01-07,46.37188208616781,中性,7,74.60317460317461,3.571428571428571,37.698412698412696,71.82539682539682,,37.301587301587304,36.904761904761905,62.698412698412696
2025-01-08,52.91950113378685,中性,7,74.20634920634922,3.373015873015873,38.095238095238095,73.80952380952381,,71.42857142857143,36.11111111111111,73.4126984126984
2025-01-09,47.56235827664399,中性,7,73.4126984126984,3.1746031746031744,43.65079365079365,71.42857142857143,,56.74603174603175,19.444444444444446,65.07936507936508
2025-01-10,40.079365079365076,中性,7,72.61904761904762,1.5873015873015872,42.85714285714286,72.22222222222221,,15.476190476190476,6.349206349206349,69.44444444444444
2025-01-13,37.5,恐惧,7,72.22222222222221,2.380952380952381,44.44444444444444,61.904761904761905,,10.119047619047619,18.253968253968253,53.17460317460318
2025-01-14,57.142857142857146,中性,7,74.60317460317461,13.492063492063492,35.71428571428571,77.38095238095238,,94.44444444444444,28.57142857142857,75.79365079365078
2025-01-15,43.877551020408156,中性,7,73.4126984126984,6.349206349206349,34.920634920634924,71.82539682539682,,49.60317460317461,2.380952380952381,68.65079365079364
2025-01-16,51.729024943310655,中性,7,73.80952380952381,11.11111111111111,35.71428571428571,74.60317460317461,,68.84920634920636,25.793650793650798,72.22222222222221
2025-01-17,46.93877551020408,中性,7,74.20634920634922,28.968253968253972,34.52380952380952,70.63492063492063,,32.53968253968254,24.6031746031746,63.095238095238095
2025-01-20,53.57142857142857,中性,7,74.60317460317461,50.79365079365079,38.49206349206349,71.42857142857143,,33.33333333333333,40.87301587301587,65.47619047619048
2025-01-21,52.77777777777778,中性,7,74.60317460317461,56.74603174603175,38.49206349206349,72.22222222222221,,28.174603174603174,32.93650793650794,66.26984126984127
2025-01-22,47.36394557823129,中性,7,71.03174603174604,48.80952380952381,39.28571428571429,69.84126984126983,,12.103174603174603,32.53968253968254,57.936507936507944
2025-01-23,56.97278911564626,中性,7,71.42857142857143,48.41269841269841,38.888888888888886,76.98412698412699,,34.523809523809526,55.158730158730165,73.4126984126984
2025-01-24,55.15873015873016,中性,7,73.4126984126984,62.698412698412696,40.07936507936508,72.61904761904762,,7.142857142857142,63.49206349206349,66.66666666666666
2025-01-27,51.87074829931972,中性,7,72.22222222222221,63.49206349206349,48.412698412698404,68.25396825396825,,9.126984126984127,45.23809523809524,56.34920634920635
2025-02-05,55.61224489795917,中性,7,68.65079365079364,60.71428571428571,48.01587301587301,75.0,,13.095238095238097,53.17460317460318,70.63492063492063
2025-02-06,70.26643990929705,贪婪,7,73.4126984126984,69.24603174603175,46.42857142857143,82.93650793650794,,94.44444444444444,46.82539682539682,78.57142857142857
2025-02-07,74.54648526077098,贪婪,7,75.39682539682539,78.17460317460318,44.44444444444444,92.85714285714286,,88.09523809523809,52.38095238095239,90.47619047619048
2025-02-10,71.20181405895691,贪婪,7,75.39682539682539,78.57142857142857,44.44444444444444,86.90476190476191,,79.36507936507937,49.2063492063492,84.52380952380952
2025-02-11,72.30725623582767,贪婪,7,74.60317460317461,77.77777777777779,44.44444444444444,84.12698412698413,,94.24603174603175,50.0,80.95238095238095
2025-02-12,73.80952380952382,贪婪,7,75.39682539682539,80.55555555555556,42.063492063492056,85.71428571428571,,94.04761904761905,57.53968253968254,81.34920634920636
2025-02-13,73.7528344671202,贪婪,7,74.60317460317461,87.6984126984127,46.42857142857143,91.26984126984127,,79.36507936507937,51.587301587301596,85.31746031746032
2025-02-14,71.93877551020408,贪婪,7,75.39682539682539,88.69047619047619,44.841269841269835,86.11111111111111,,56.547619047619044,68.65079365079364,83.33333333333334
2025-02-17,75.6235827664399,贪婪,7,75.39682539682539,82.93650793650794,44.841269841269835,92.46031746031747,,74.60317460317461,71.03174603174604,88.09523809523809
2025-02-18,65.58956916099774,贪婪,7,73.4126984126984,73.01587301587301,42.85714285714286,90.07936507936508,,28.174603174603174,67.46031746031747,84.12698412698413
2025-02-19,66.921768707483,贪婪,7,74.60317460317461,75.39682539682539,40.87301587301587,86.5079365079365,,60.51587301587301,49.60317460317461,80.95238095238095
2025-02-20,72.42063492063492,贪婪,7,73.80952380952381,73.4126984126984,47.61904761904761,86.90476190476191,,83.92857142857143,58.730158730158735,82.53968253968253
2025-02-21,81.12244897959184,极度贪婪,7,76.5873015873016,74.60317460317461,61.904761904761905,95.23809523809523,,94.04761904761905,72.22222222222221,93.25396825396825
2025-02-24,75.11337868480726,贪婪,7,75.79365079365078,74.20634920634922,68.65079365079364,93.65079365079364,,46.42857142857143,75.79365079365078,91.26984126984127
2025-02-25,73.58276643990929,贪婪,7,71.03174603174604,66.66666666666666,61.904761904761905,90.47619047619048,,73.01587301587301,67.85714285714286,84.12698412698413
2025-02-26,78.6281179138322,贪婪,7,73.80952380952381,73.80952380952381,59.523809523809526,91.26984126984127,,94.44444444444444,71.42857142857143,86.11111111111111
2025-02-27,71.88208616780045,贪婪,7,74.20634920634922,74.8015873015873,61.11111111111111,92.46031746031747,,36.7063492063492,74.20634920634922,89.68253968253968
2025-02-28,60.0907029478458,贪婪,7,67.85714285714286,49.60317460317461,50.0,89.28571428571429,,6.349206349206349,71.82539682539682,85.71428571428571
2025-03-03,58.02154195011338,中性,7,66.66666666666666,49.60317460317461,53.17460317460318,79.76190476190477,,28.373015873015873,54.761904761904766,73.80952380952381
2025-03-04,56.23582766439909,中性,7,65.87301587301587,53.17460317460318,53.17460317460318,71.82539682539682,,34.92063492063492,47.22222222222222,67.46031746031747
2025-03-05,65.02267573696146,贪婪,7,69.04761904761905,56.74603174603175,77.77777777777777,74.60317460317461,,69.04761904761905,38.095238095238095,69.84126984126983
2025-03-06,76.30385487528345,贪婪,7,72.22222222222221,74.20634920634922,75.0,90.47619047619048,,87.3015873015873,51.19047619047619,83.73015873015873
2025-03-07,67.31859410430839,贪婪,7,69.84126984126983,68.45238095238095,73.01587301587301,88.09523809523809,,60.71428571428571,30.158730158730158,80.95238095238095
2025-03-10,60.2891156462585,贪婪,7,68.65079365079364,64.68253968253968,71.82539682539682,74.60317460317461,,42.26190476190476,30.952380952380953,69.04761904761905
2025-03-11,64.96598639455782,贪婪,7,69.04761904761905,67.06349206349206,71.82539682539682,72.61904761904762,,63.095238095238095,42.46031746031746,68.65079365079364
2025-03-12,69.33106575963718,贪婪,7,67.85714285714286,62.698412698412696,70.63492063492063,80.55555555555556,,89.28571428571429,38.492063492063494,75.79365079365078
2025-03-13,55.300453514739225,中性,7,66.26984126984127,52.38095238095239,75.0,76.98412698412699,,16.46825396825397,27.77777777777778,72.22222222222221
2025-03-14,69.24603174603173,贪婪,7,75.79365079365078,77.57936507936508,51.19047619047619,88.09523809523809,,55.55555555555556,55.55555555555556,80.95238095238095
2025-03-17,64.39909297052154,贪婪,7,74.60317460317461,73.80952380952381,53.17460317460318,74.60317460317461,,75.39682539682539,28.57142857142857,70.63492063492063
2025-03-18,65.36281179138322,贪婪,7,75.39682539682539,79.16666666666666,53.17460317460318,73.4126984126984,,86.70634920634922,24.206349206349206,65.47619047619048
2025-03-19,61.59297052154195,贪婪,7,75.39682539682539,70.63492063492063,53.17460317460318,68.25396825396825,,75.1984126984127,26.190476190476193,62.301587301587304
2025-03-20,62.49999999999999,贪婪,7,70.23809523809523,66.26984126984127,53.57142857142857,67.06349206349206,,95.43650793650794,21.03174603174603,63.888888888888886
2025-03-21,49.48979591836735,中性,7,61.50793650793651,44.84126984126984,51.98412698412698,74.60317460317461,,17.46031746031746,24.6031746031746,71.42857142857143
2025-03-24,46.31519274376417,中性,7,65.47619047619048,50.39682539682539,49.20634920634921,67.46031746031747,,9.126984126984127,13.88888888888889,68.65079365079364
2025-03-25,44.1609977324263,中性,7,64.68253968253968,49.60317460317461,51.98412698412698,60.317460317460316,,11.507936507936508,13.095238095238097,57.936507936507944
2025-03-26,49.97165532879819,中性,7,60.71428571428571,44.84126984126984,52.38095238095239,55.952380952380956,,75.1984126984127,8.333333333333332,52.38095238095239
2025-03-27,44.04761904761905,中性,7,64.28571428571429,51.19047619047619,52.38095238095239,58.333333333333336,,20.634920634920633,7.936507936507936,53.57142857142857
2025-03-28,39.852607709750565,恐惧,7,58.730158730158735,40.07936507936508,53.96825396825397,54.761904761904766,,17.46031746031746,5.158730158730158,48.80952380952381
2025-03-31,39.682539682539684,恐惧,7,54.36507936507936,25.0,52.77777777777778,58.730158730158735,,5.158730158730158,25.0,56.74603174603175
2025-04-01,46.7687074829932,中性,7,53.96825396825397,33.33333333333333,55.952380952380956,55.158730158730165,,53.57142857142857,27.380952380952383,48.01587301587302
2025-04-02,40.249433106575964,中性,7,53.17460317460318,29.761904761904763,59.523809523809526,48.80952380952381,,34.12698412698413,18.253968253968253,38.095238095238095
2025-04-03,38.88888888888889,恐惧,7,52.38095238095239,30.555555555555557,58.730158730158735,55.55555555555556,,9.126984126984127,17.063492063492063,48.80952380952381
2025-04-07,37.074829931972786,恐惧,7,33.730158730158735,1.984126984126984,13.492063492063494,78.17460317460318,,0.3968253968253968,50.39682539682539,81.34920634920636
2025-04-08,43.48072562358277,中性,7,40.87301587301587,6.746031746031746,12.698412698412696,82.14285714285714,,2.7777777777777777,73.80952380952381,85.31746031746032
2025-04-09,53.401360544217695,中性,7,45.23809523809524,9.523809523809524,12.698412698412696,84.52380952380952,,59.92063492063492,72.61904761904762,89.28571428571429
2025-04-10,55.0453514739229,中性,7,49.2063492063492,13.88888888888889,12.698412698412696,78.96825396825396,,95.63492063492063,56.34920634920635,78.57142857142857
2025-04-11,43.367346938775505,中性,7,50.39682539682539,8.928571428571429,12.698412698412696,63.49206349206349,,62.5,43.25396825396825,62.301587301587304
2025-04-14,41.07142857142857,中性,7,50.79365079365079,11.507936507936508,14.285714285714292,59.92063492063492,,82.73809523809523,10.317460317460316,57.936507936507944
2025-04-15,33.41836734693878,恐惧,7,50.79365079365079,17.46031746031746,14.285714285714292,49.2063492063492,,42.26190476190476,13.88888888888889,46.03174603174603
2025-04-16,39.229024943310655,恐惧,7,50.79365079365079,27.77777777777778,14.285714285714292,51.587301587301596,,46.42857142857143,33.33333333333333,50.39682539682539
2025-04-17,40.56122448979592,中性,7,50.39682539682539,33.53174603174603,15.476190476190482,46.82539682539682,,78.17460317460318,17.46031746031746,42.06349206349206
2025-04-18,36.37566137566137,恐惧,6,50.0,34.12698412698413,16.269841269841265,43.25396825396825,,37.301587301587304,,37.301587301587304
2025-04-21,38.35978835978836,恐惧,6,51.19047619047619,40.87301587301587,16.269841269841265,46.42857142857143,,32.93650793650794,,42.46031746031746
2025-04-22,39.37074829931972,恐惧,7,50.79365079365079,46.42857142857143,16.666666666666657,49.2063492063492,,32.34126984126984,34.12698412698413,46.03174603174603
2025-04-23,40.589569160997726,中性,7,50.79365079365079,50.39682539682539,17.46031746031747,56.74603174603175,,35.714285714285715,19.047619047619047,53.96825396825397
2025-04-24,39.058956916099774,恐惧,7,50.0,50.39682539682539,17.85714285714286,48.80952380952381,,38.095238095238095,23.809523809523807,44.44444444444444
2025-04-25,42.20521541950114,中性,7,50.0,62.301587301587304,18.253968253968253,49.60317460317461,,30.753968253968257,38.492063492063494,46.03174603174603
2025-04-28,37.3015873015873,恐惧,7,48.80952380952381,56.34920634920635,20.634920634920633,45.63492063492063,,4.365079365079365,42.06349206349206,43.25396825396825
2025-04-29,39.20068027210885,恐惧,7,47.22222222222222,64.48412698412699,21.03174603174604,44.047619047619044,,20.634920634920633,36.507936507936506,40.476190476190474
2025-04-30,46.82539682539682,中性,7,46.03174603174603,67.85714285714286,21.42857142857143,51.98412698412699,,40.87301587301587,48.01587301587302,51.587301587301596
2025-05-06,57.17120181405895,中性,7,51.19047619047619,79.36507936507937,20.634920634920633,60.71428571428571,,85.51587301587301,44.44444444444444,58.333333333333336
2025-05-07,64.05895691609977,贪婪,7,51.19047619047619,85.71428571428571,20.634920634920633,67.85714285714286,,95.63492063492063,61.50793650793651,65.87301587301587
2025-05-08,55.13038548752835,中性,7,51.587301587301596,83.33333333333334,22.61904761904762,59.12698412698413,,64.0873015873016,50.0,55.158730158730165
2025-05-09,51.47392290249433,中性,7,50.79365079365079,80.95238095238095,23.412698412698404,53.57142857142857,,71.42857142857143,31.746031746031743,48.41269841269841
2025-05-12,53.23129251700681,中性,7,52.38095238095239,79.76190476190477,21.42857142857143,59.523809523809526,,95.63492063492063,9.920634920634921,53.96825396825397
2025-05-13,51.218820861678005,中性,7,52.38095238095239,82.73809523809523,21.825396825396822,57.936507936507944,,84.12698412698413,6.746031746031746,52.77777777777778
2025-05-14,55.073696145124714,中性,7,58.333333333333336,86.90476190476191,20.634920634920633,60.71428571428571,,95.43650793650794,7.5396825396825395,55.952380952380956
2025-05-15,45.18140589569161,中性,7,51.98412698412699,78.17460317460318,20.634920634920633,50.79365079365079,,60.71428571428571,9.920634920634921,44.047619047619044
2025-05-16,46.23015873015873,中性,7,50.39682539682539,73.80952380952381,21.03174603174604,44.84126984126984,,72.42063492063492,21.428571428571427,39.682539682539684
2025-05-19,50.11337868480725,中性,7,50.0,73.01587301587301,21.03174603174604,43.25396825396825,,95.23809523809523,27.380952380952383,40.87301587301587
2025-05-20,49.688208616780045,中性,7,51.19047619047619,81.54761904761905,20.634920634920633,49.2063492063492,,52.77777777777778,45.63492063492063,46.82539682539682
2025-05-21,49.43310657596372,中性,7,52.38095238095239,76.5873015873016,21.42857142857143,48.01587301587302,,65.87301587301587,34.92063492063492,46.82539682539682
2025-05-22,54.790249433106574,中性,7,51.587301587301596,69.84126984126983,92.06349206349206,42.06349206349206,,38.2936507936508,49.60317460317461,40.07936507936508
2025-05-23,56.15079365079365,中性,7,48.80952380952381,62.301587301587304,96.03174603174604,46.82539682539682,,44.24603174603175,49.2063492063492,45.63492063492063
2025-05-26,56.49092970521542,中性,7,46.82539682539682,58.333333333333336,96.42857142857143,38.88888888888889,,85.51587301587301,34.12698412698413,35.317460317460316
2025-05-27,54.450113378684804,中性,7,45.63492063492063,40.476190476190474,98.01587301587301,38.88888888888889,,86.30952380952381,35.714285714285715,36.11111111111111
2025-05-28,50.73696145124717,中性,7,45.23809523809524,40.07936507936508,98.80952380952381,37.301587301587304,,68.25396825396825,28.968253968253972,36.507936507936506
2025-05-29,56.972789115646265,中性,7,46.03174603174603,58.333333333333336,97.22222222222223,51.98412698412699,,48.01587301587302,49.2063492063492,48.01587301587302
2025-05-30,49.77324263038549,中性,7,44.84126984126984,38.88888888888889,96.82539682539682,45.63492063492063,,22.61904761904762,56.34920634920635,43.25396825396825
2025-06-03,55.89569160997733,中性,7,45.63492063492063,46.42857142857143,96.82539682539682,45.23809523809524,,60.317460317460316,52.38095238095239,44.44444444444444
2025-06-04,56.859410430839,中性,7,46.82539682539682,60.71428571428571,96.03174603174604,46.03174603174603,,77.77777777777779,29.365079365079367,41.269841269841265
2025-06-05,56.859410430839,中性,7,47.61904761904761,64.68253968253968,95.63492063492063,57.14285714285714,,57.14285714285714,23.41269841269841,52.38095238095239
2025-06-06,57.11451247165534,中性,7,47.22222222222222,64.68253968253968,96.03174603174604,46.42857142857143,,63.69047619047619,42.06349206349206,39.682539682539684
2025-06-09,65.41950113378685,贪婪,7,48.01587301587302,67.85714285714286,94.84126984126985,58.730158730158735,,82.53968253968253,53.17460317460318,52.77777777777778
2025-06-10,65.75963718820863,贪婪,7,44.44444444444444,61.50793650793651,92.85714285714286,65.87301587301587,,79.76190476190477,53.96825396825397,61.904761904761905
2025-06-11,60.147392290249435,贪婪,7,48.80952380952381,69.04761904761905,89.28571428571429,55.952380952380956,,61.50793650793651,46.42857142857143,50.0
2025-06-12,64.59750566893425,贪婪,7,47.61904761904761,68.25396825396825,88.88888888888889,57.14285714285714,,95.03968253968253,45.63492063492063,49.60317460317461
2025-06-13,62.358276643990926,贪婪,7,42.857142857142854,57.936507936507944,86.5079365079365,70.63492063492063,,35.714285714285715,77.38095238095238,65.47619047619048
2025-06-16,57.31292517006803,中性,7,44.44444444444444,61.111111111111114,86.5079365079365,51.19047619047619,,58.333333333333336,55.952380952380956,43.65079365079365
2025-06-17,53.96825396825397,中性,7,42.46031746031746,58.730158730158735,86.5079365079365,50.0,,40.87301587301587,56.34920634920635,42.857142857142854
2025-06-18,50.90702947845806,中性,7,43.65079365079365,60.317460317460316,91.26984126984127,47.61904761904761,,27.77777777777778,49.60317460317461,36.11111111111111
2025-06-19,47.95918367346939,中性,7,39.285714285714285,34.523809523809526,88.0952380952381,54.36507936507936,,19.841269841269842,52.77777777777778,46.82539682539682
2025-06-20,43.79251700680272,中性,7,39.285714285714285,30.158730158730158,90.07936507936508,36.904761904761905,,16.865079365079367,62.301587301587304,30.952380952380953
2025-06-23,56.122448979591844,中性,7,40.476190476190474,41.269841269841265,89.28571428571429,42.857142857142854,,94.84126984126983,51.587301587301596,32.53968253968254
